"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","98","1600 13th Road South, Arlington Views, Arlington","1/1/2018 - 1/31/2018, Every day, Daily Average",584,400,851
"186","20001, Northwest Washington, Washington","99","3800 Pinewood Terrace, Falls Church","1/1/2018 - 1/31/2018, Every day, Daily Average",1607,1209,2134
"186","20001, Northwest Washington, Washington","100","1200 Oronoco Street, Old Town West, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",994,733,1346
"186","20001, Northwest Washington, Washington","101","100 South Fayette Street, Old Town, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",1108,829,1479
"186","20001, Northwest Washington, Washington","102","3700 South George Mason Drive, Falls Church","1/1/2018 - 1/31/2018, Every day, Daily Average",1088,773,1531
"186","20001, Northwest Washington, Washington","103","600 South Ball Street, Crystal City, Arlington","1/1/2018 - 1/31/2018, Every day, Daily Average",539,354,819
"186","20001, Northwest Washington, Washington","104","2500 Jackson Parkway, Vienna","1/1/2018 - 1/31/2018, Every day, Daily Average",1464,1116,1919
"186","20001, Northwest Washington, Washington","105","Dwight D. Eisenhower Southwest Freeway, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",330,202,536
"186","20001, Northwest Washington, Washington","106","5800 Cameron Run Terrace, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",1326,996,1763
"186","20001, Northwest Washington, Washington","107","4000 Ellicott Street, Seminary Hill, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",828,583,1174
"186","20001, Northwest Washington, Washington","108","100 57th Place Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1539,1179,2008
"186","20001, Northwest Washington, Washington","109","7200 Wesley Road, Springfield","1/1/2018 - 1/31/2018, Every day, Daily Average",1251,938,1667
"186","20001, Northwest Washington, Washington","110","800 West Braddock Road, Rosemont, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",1014,721,1424
"186","20001, Northwest Washington, Washington","111","Perimeter East Road Southwest, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1004,707,1424
"186","20001, Northwest Washington, Washington","112","Willow Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",797,542,1169
"186","20001, Northwest Washington, Washington","113","400 50th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1488,1127,1962
"186","20001, Northwest Washington, Washington","114","5300 Call Place Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1552,1185,2032
"186","20001, Northwest Washington, Washington","115","4700 B Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1435,1087,1893
"186","20001, Northwest Washington, Washington","116","100 Jefferson Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1298,962,1750
"186","20001, Northwest Washington, Washington","117","4800 Illinois Avenue Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1264,953,1675
"186","20001, Northwest Washington, Washington","118","100 Emerson Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1197,889,1611
"186","20001, Northwest Washington, Washington","119","200 10th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",822,605,1115
"186","20001, Northwest Washington, Washington","120","300 Varnum Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1215,914,1614
"186","20001, Northwest Washington, Washington","121","0 T Street Southwest, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",605,403,907
"186","20001, Northwest Washington, Washington","122","100 E Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",476,310,729
"186","20001, Northwest Washington, Washington","123","600 Independence Avenue Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",677,490,933
"186","20001, Northwest Washington, Washington","124","1400 4th Street Southwest, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",541,366,799
"186","20001, Northwest Washington, Washington","125","1600 D Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",858,620,1187
"186","20001, Northwest Washington, Washington","126","2300 Hartford Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1316,911,1901
"186","20001, Northwest Washington, Washington","127","1300 E Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",876,660,1161
"186","20001, Northwest Washington, Washington","128","3500 19th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1315,912,1894
"186","20001, Northwest Washington, Washington","129","800 51st Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1284,877,1877
"186","20001, Northwest Washington, Washington","130","3800 22nd Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1324,1010,1734
"186","20001, Northwest Washington, Washington","131","200 Taylor Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1043,766,1419
"186","20001, Northwest Washington, Washington","132","1600 Buchanan Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1298,978,1722
"186","20001, Northwest Washington, Washington","133","200 Oneida Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1351,1005,1814
"186","20001, Northwest Washington, Washington","134","1400 Allison Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1222,924,1615
"186","20001, Northwest Washington, Washington","135","Scale Gate Road Northeast, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",946,682,1310
